**** BEGIN LOGGING AT Wed Apr 18 22:05:42 2018

Apr 18 22:05:42 *	Now talking on #shade
Apr 18 22:39:08 *	kronikzgamingxd (kronikzgamingxd@kronikzgamingxd.tmi.twitch.tv) has left
Apr 18 22:39:08 *	voymerr (voymerr@voymerr.tmi.twitch.tv) has left
Apr 18 22:39:08 *	scoot_boot (scoot_boot@scoot_boot.tmi.twitch.tv) has left
Apr 18 22:39:08 *	benwatchesyou (benwatchesyou@benwatchesyou.tmi.twitch.tv) has left
Apr 18 22:39:08 *	rktking (rktking@rktking.tmi.twitch.tv) has left
Apr 18 22:39:09 <heuji>	< shdeChamp /
Apr 18 22:39:15 <glonk_>	O_o KevinTurtle
Apr 18 22:39:23 <bhsr>	aim what happened at lbf
Apr 18 22:39:27 <bhsr>	:(
Apr 18 22:39:27 <corunson>	i'm back
Apr 18 22:39:29 <aim>	we lost
Apr 18 22:39:32 <aim>	lol what do u mean what happened
Apr 18 22:39:33 <k_r_a_f_t>	hi back
Apr 18 22:39:38 <zinqul>	< funkeThe /
Apr 18 22:39:41 <stalebrea>	You beef
Apr 18 22:39:41 <bhsr>	i cri everytiem
Apr 18 22:39:45 <moshes_w_wolves>	https://clips.twitch.tv/RealCrowdedInternCoolStoryBro
Apr 18 22:39:47 <stalebrea>	Granary
Apr 18 22:40:05 <lejacaranda>	take off shirt
Apr 18 22:40:10 <robot_gloryhole>	@shade So if i sub will you thank me at the end of the finals?
Apr 18 22:40:16 <chaaaad>	taste the elo shdeLUL
Apr 18 22:40:16 <tricky_tiger>	Shade I want your advice on how to get bitches.
Apr 18 22:40:19 <bhsr>	@shade roulette all in chat
Apr 18 22:40:23 <b4nnysbottom>	Shirtless b4nny pic and I’ll sub
Apr 18 22:40:25 <lastysrevenge>	!roulette 300
Apr 18 22:40:25 *	streamelements lastysrevenge lost 300 points in roulette and now has 1820 points! FeelsBadMan
Apr 18 22:40:28 <r4ve_>	oh wow
Apr 18 22:40:30 <corunson>	KappaPride
Apr 18 22:40:33 <wild_rumpus>	LuL
Apr 18 22:40:35 <crazyycow>	bursting in my mouth Kreygasm
Apr 18 22:40:37 <mellotf2_>	EleGiggle
Apr 18 22:40:41 <phace_>	KappaPride
Apr 18 22:40:41 <4gottenz>	@moshes_w_wolves what is the context of that clip
Apr 18 22:40:46 *	arekk_12 (arekk_12@arekk_12.tmi.twitch.tv) has joined
Apr 18 22:40:46 *	ascarydude (ascarydude@ascarydude.tmi.twitch.tv) has joined
Apr 18 22:40:46 *	4dderall (4dderall@4dderall.tmi.twitch.tv) has joined
Apr 18 22:40:46 *	mankey__ (mankey__@mankey__.tmi.twitch.tv) has left
Apr 18 22:40:46 *	phaerity (phaerity@phaerity.tmi.twitch.tv) has left
Apr 18 22:40:46 *	emanresuhctiwt (emanresuhctiwt@emanresuhctiwt.tmi.twitch.tv) has left
Apr 18 22:40:46 *	crosteal (crosteal@crosteal.tmi.twitch.tv) has left
Apr 18 22:40:46 *	bruh_ice (bruh_ice@bruh_ice.tmi.twitch.tv) has left
Apr 18 22:40:46 *	heloyelofelo (heloyelofelo@heloyelofelo.tmi.twitch.tv) has left
Apr 18 22:40:46 *	philociraptor36 (philociraptor36@philociraptor36.tmi.twitch.tv) has left
Apr 18 22:40:46 *	scirios (scirios@scirios.tmi.twitch.tv) has left
Apr 18 22:40:46 *	lunacide_ (lunacide_@lunacide_.tmi.twitch.tv) has left
Apr 18 22:40:46 *	larrydysentery (larrydysentery@larrydysentery.tmi.twitch.tv) has left
Apr 18 22:40:46 *	pizacoist (pizacoist@pizacoist.tmi.twitch.tv) has left
Apr 18 22:40:46 *	zheep_ (zheep_@zheep_.tmi.twitch.tv) has left
Apr 18 22:40:48 <crazyycow>	KappaPride
Apr 18 22:40:49 <aim>	why is this a clip
Apr 18 22:40:51 <aim>	???
Apr 18 22:40:51 <r4ve_>	who is this because I've def heard their voice before
Apr 18 22:40:56 <zeekaptain>	raysB
Apr 18 22:40:57 <ghostclientsales>	aim
Apr 18 22:40:58 <bhsr>	aim
Apr 18 22:40:58 <b4nnysbottom>	Oh wow
Apr 18 22:41:00 <bhsr>	pls
Apr 18 22:41:01 <crazyycow>	aim
Apr 18 22:41:02 <4dderall>	elo taste good
Apr 18 22:41:02 <bork_oof>	wow
Apr 18 22:41:04 <chaaaad>	o wow
Apr 18 22:41:04 <moshes_w_wolves>	character, assassinated
Apr 18 22:41:06 <4gottenz>	yea
Apr 18 22:41:08 <corunson>	https://clips.twitch.tv/ChillyAmericanAlligatorGrammarKing
Apr 18 22:41:09 <mellotf2_>	wow
Apr 18 22:41:10 <tricky_tiger>	Aim wtf
Apr 18 22:41:10 <streamelements>	Be sure to follow me on Twitter for updates and food and stuff: http://twitter.com/shadetf2
Apr 18 22:41:11 <zinqul>	o wow
Apr 18 22:41:12 <crazyycow>	ELO Kreygasm
Apr 18 22:41:13 <sliferr>	LOL
Apr 18 22:41:15 <floop_tf>	its aim
Apr 18 22:41:15 <marquislmao>	o wow
Apr 18 22:41:16 <r4ve_>	lamo
Apr 18 22:41:17 <aim>	why is this a clip
Apr 18 22:41:17 <zinqul>	Kreygasm
Apr 18 22:41:18 <zirtonic>	KappaPride
Apr 18 22:41:20 <mellotf2_>	Kreygasm
Apr 18 22:41:21 <aim>	hello
Apr 18 22:41:23 <lastysrevenge>	!roulette 600
Apr 18 22:41:23 <zirtonic>	aim owned LUL
Apr 18 22:41:24 <corunson>	o wow
Apr 18 22:41:24 <bhsr>	o wow
Apr 18 22:41:25 <lejacaranda>	o wow
Apr 18 22:41:27 <heuji>	almost deserves and 'ohhhh aiiiiim'
Apr 18 22:41:30 <4gottenz>	kissing my cock slowly 69
Apr 18 22:41:31 <zinqul>	o w Kreygasm w
Apr 18 22:41:33 <tricky_tiger>	This is gross
Apr 18 22:41:42 <lejacaranda>	69 KappaPride
Apr 18 22:41:43 <corunson>	K I S S I N G
Apr 18 22:41:44 <aim>	thats litearlly
Apr 18 22:41:46 <aim>	rthe dudes name
Apr 18 22:41:46 <crazyycow>	kissing my cock Kreygasm
Apr 18 22:41:48 <chaaaad>	the 69 makes it
Apr 18 22:41:49 <aim>	hello
Apr 18 22:41:53 <zirtonic>	sure it is KappaPride
Apr 18 22:41:56 <mellotf2_>	LUL LUL
Apr 18 22:41:57 <4dderall>	and aim gets roasteD
Apr 18 22:41:57 <stalebrea>	Lmfao
Apr 18 22:41:57 <4gottenz>	this shade stream is devolving into chaos
Apr 18 22:41:58 <bhsr>	69 (not the sex)
Apr 18 22:41:58 <marquislmao>	o wow.
Apr 18 22:41:59 <sliferr>	poor aim lmao
Apr 18 22:41:59 <tricky_tiger>	Wouldn't be nearly as bad if he didn't have that weird ass accent
Apr 18 22:42:00 <lastysrevenge>	!roulette 600
Apr 18 22:42:01 *	streamelements lastysrevenge lost 600 points in roulette and now has 1225 points! FeelsBadMan
Apr 18 22:42:09 <corunson>	"69 not the sex"
Apr 18 22:42:10 <phace_>	!roulette 5
Apr 18 22:42:10 *	streamelements phace_ won 5 points in roulette and now has 155 points! FeelsGoodMan
Apr 18 22:42:15 <moshes_w_wolves>	LUL
Apr 18 22:42:16 <crazyycow>	salty and spicy elo Kreygasm
Apr 18 22:42:27 <crazyycow>	gachiGasm
Apr 18 22:42:32 *	barkbarkbark (barkbarkbark@barkbarkbark.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	ghostclientsales (ghostclientsales@ghostclientsales.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	crazyycow (crazyycow@crazyycow.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	brown_sugar (brown_sugar@brown_sugar.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	catface__ (catface__@catface__.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	heloyelofelo (heloyelofelo@heloyelofelo.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	tricky_tiger (tricky_tiger@tricky_tiger.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	lejacaranda (lejacaranda@lejacaranda.tmi.twitch.tv) has joined
Apr 18 22:42:32 *	maemaeee (maemaeee@maemaeee.tmi.twitch.tv) has left
Apr 18 22:42:32 *	nottandy (nottandy@nottandy.tmi.twitch.tv) has left
Apr 18 22:42:32 *	killakamo (killakamo@killakamo.tmi.twitch.tv) has left
Apr 18 22:42:32 *	minty001 (minty001@minty001.tmi.twitch.tv) has left
Apr 18 22:42:32 *	cheeeese_ (cheeeese_@cheeeese_.tmi.twitch.tv) has left
Apr 18 22:42:32 *	duckaroo_duck (duckaroo_duck@duckaroo_duck.tmi.twitch.tv) has left
Apr 18 22:42:32 *	3kho (3kho@3kho.tmi.twitch.tv) has left
Apr 18 22:42:32 *	tab_tf2 (tab_tf2@tab_tf2.tmi.twitch.tv) has left
Apr 18 22:42:32 *	segno_ (segno_@segno_.tmi.twitch.tv) has left
Apr 18 22:42:32 *	sprite_tough (sprite_tough@sprite_tough.tmi.twitch.tv) has left
Apr 18 22:42:32 *	chileanperson (chileanperson@chileanperson.tmi.twitch.tv) has left
Apr 18 22:42:32 *	settyko (settyko@settyko.tmi.twitch.tv) has left
Apr 18 22:42:32 *	spl4sh_tf2 (spl4sh_tf2@spl4sh_tf2.tmi.twitch.tv) has left
Apr 18 22:42:32 *	snozlar (snozlar@snozlar.tmi.twitch.tv) has left
Apr 18 22:42:32 *	tangentf2 (tangentf2@tangentf2.tmi.twitch.tv) has left
Apr 18 22:42:32 *	thicccdadd (thicccdadd@thicccdadd.tmi.twitch.tv) has left
Apr 18 22:42:33 <corunson>	OwO w
Apr 18 22:42:35 <crazyycow>	gachigasm
Apr 18 22:42:40 <killroy_nqp>	OwOw
Apr 18 22:42:41 <4gottenz>	owo wow
Apr 18 22:42:43 <sunderkeenin>	o wow kissing my cock slowly 69
Apr 18 22:42:45 <wild_rumpus>	PogChamp
Apr 18 22:42:49 <bhsr>	debut the aim interview at rewind @Shade
Apr 18 22:42:52 <corunson>	o wow kissing my cock slowly 69
Apr 18 22:42:54 <b4nnysbottom>	Someone edited so he says cock instead of elo
Apr 18 22:42:56 <heuji>	https://clips.twitch.tv/GentleHelplessFlamingoRuleFive
Apr 18 22:42:59 <pokemontrainerjake>	yoooo
Apr 18 22:43:11 <tozs_>	ResidentSleeper
Apr 18 22:43:13 <lavaa>	trukM
Apr 18 22:43:14 <4gottenz>	pubstomp noob
Apr 18 22:43:39 <moshes_w_wolves>	o wow
Apr 18 22:43:59 <lastysrevenge>	!roulette 1200
Apr 18 22:43:59 *	streamelements lastysrevenge lost 1200 points in roulette and now has 25 points! FeelsBadMan
Apr 18 22:43:59 <zinqul>	o wow
Apr 18 22:44:00 <cerdur_>	clip chimps
Apr 18 22:44:06 <zirtonic>	ANELE
Apr 18 22:44:07 <corunson>	https://clips.twitch.tv/NaiveRoughWasabiTheRinger
Apr 18 22:44:07 <sunderkeenin>	o wow some people put 0 effort into cropping clips
Apr 18 22:44:08 <sunderkeenin>	4Head
Apr 18 22:44:08 *	habib_6ix_god (habib_6ix_god@habib_6ix_god.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	mathsocks (mathsocks@mathsocks.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	5econd5ight (5econd5ight@5econd5ight.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	iamzim101 (iamzim101@iamzim101.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	pokemontrainerjake (pokemontrainerjake@pokemontrainerjake.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	minty001 (minty001@minty001.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	b4nny (b4nny@b4nny.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	jojoyato (jojoyato@jojoyato.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	denkadawg (denkadawg@denkadawg.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	kloam (kloam@kloam.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	lavaa (lavaa@lavaa.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	eevn (eevn@eevn.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	kishine_ (kishine_@kishine_.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	gr_buster (gr_buster@gr_buster.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	extracrispy111 (extracrispy111@extracrispy111.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	killroy_nqp (killroy_nqp@killroy_nqp.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	stay_hydrated_bot (stay_hydrated_bot@stay_hydrated_bot.tmi.twitch.tv) has joined
Apr 18 22:44:08 *	wackyfireball (wackyfireball@wackyfireball.tmi.twitch.tv) has left
Apr 18 22:44:08 *	dgitl (dgitl@dgitl.tmi.twitch.tv) has left
Apr 18 22:44:08 *	ascarydude (ascarydude@ascarydude.tmi.twitch.tv) has left
Apr 18 22:44:08 *	cgy3 (cgy3@cgy3.tmi.twitch.tv) has left
Apr 18 22:44:08 *	k4cks (k4cks@k4cks.tmi.twitch.tv) has left
Apr 18 22:44:08 *	jackx232 (jackx232@jackx232.tmi.twitch.tv) has left
Apr 18 22:44:08 *	dustybunny250 (dustybunny250@dustybunny250.tmi.twitch.tv) has left
Apr 18 22:44:08 *	femmebrulee (femmebrulee@femmebrulee.tmi.twitch.tv) has left
Apr 18 22:44:08 *	marquislmao (marquislmao@marquislmao.tmi.twitch.tv) has left
Apr 18 22:44:08 *	thefloffybanana (thefloffybanana@thefloffybanana.tmi.twitch.tv) has left
Apr 18 22:44:08 *	shanks_3 (shanks_3@shanks_3.tmi.twitch.tv) has left
Apr 18 22:44:08 *	catface__ (catface__@catface__.tmi.twitch.tv) has left
Apr 18 22:44:08 *	superdupertacos (superdupertacos@superdupertacos.tmi.twitch.tv) has left
Apr 18 22:44:10 <4gottenz>	watch your own clips shade
Apr 18 22:44:10 <wild_rumpus>	they do it for ad money 4Head
Apr 18 22:44:18 <moshes_w_wolves>	TheIlluminati
Apr 18 22:44:24 <habib_6ix_god>	:D
Apr 18 22:44:27 <habib_6ix_god>	LUL
Apr 18 22:44:28 <aim>	LOL
Apr 18 22:44:32 <roeeyamini>	lol
Apr 18 22:44:33 <crazyycow>	LUL
Apr 18 22:44:39 <4gottenz>	no it was defnitely TheIlluminati
Apr 18 22:44:45 <corunson>	LUL
Apr 18 22:44:49 <mellotf2_>	LUL LUL
Apr 18 22:44:50 <4gottenz>	aimAlright
Apr 18 22:45:00 <aim>	forsenOMEGA
Apr 18 22:45:03 <mellotf2_>	meyy FailFish
Apr 18 22:45:03 <chaaaad>	not aimOwow?
Apr 18 22:45:06 <sunderkeenin>	o wow that beef
Apr 18 22:45:07 <bioshockfish>	LUL
Apr 18 22:45:08 <mackeytf>	cheer1 https://clips.twitch.tv/MotionlessBoringAntelopeJonCarnage
Apr 18 22:45:09 <bhsr>	aim emotes when
Apr 18 22:45:09 <zinqul>	LUL
Apr 18 22:45:20 <darkxk>	bannySquint
Apr 18 22:45:25 <4gottenz>	shdeSquint
Apr 18 22:45:27 <habib_6ix_god>	LOL
Apr 18 22:45:29 <zinqul>	funkeWeez
Apr 18 22:45:30 <mellotf2_>	squint
Apr 18 22:45:30 <4gottenz>	shdeThinking
Apr 18 22:45:31 <arekk_12>	LOL
Apr 18 22:45:34 <4dderall>	sigh47CHEETO sigh47CHEETO sigh47CHEETO sigh47CHEETO
Apr 18 22:45:34 <habib_6ix_god>	you have to make that an emote
Apr 18 22:45:39 <mellotf2_>	-o-
Apr 18 22:45:40 <tricky_tiger>	Shade is mocking banny
Apr 18 22:45:42 <bhsr>	bannyThink
Apr 18 22:45:52 <sunnyunicorn>	bannyP Squid4 bannySweat
Apr 18 22:45:53 <tricky_tiger>	Oh I'm slow lol
Apr 18 22:45:54 *	retrodaveyboy (retrodaveyboy@retrodaveyboy.tmi.twitch.tv) has joined
Apr 18 22:45:54 *	wackyfireball (wackyfireball@wackyfireball.tmi.twitch.tv) has joined
Apr 18 22:45:54 *	cukei (cukei@cukei.tmi.twitch.tv) has joined
Apr 18 22:45:54 *	bagelbocker (bagelbocker@bagelbocker.tmi.twitch.tv) has joined
Apr 18 22:45:54 *	yomps1 (yomps1@yomps1.tmi.twitch.tv) has joined
Apr 18 22:45:54 *	kloam (kloam@kloam.tmi.twitch.tv) has left
Apr 18 22:45:54 *	angerbeaver10 (angerbeaver10@angerbeaver10.tmi.twitch.tv) has left
Apr 18 22:45:54 *	lejacaranda (lejacaranda@lejacaranda.tmi.twitch.tv) has left
Apr 18 22:45:54 *	ssapdrow (ssapdrow@ssapdrow.tmi.twitch.tv) has left
Apr 18 22:45:54 *	wadlie (wadlie@wadlie.tmi.twitch.tv) has left
Apr 18 22:45:54 *	denkadawg (denkadawg@denkadawg.tmi.twitch.tv) has left
Apr 18 22:45:54 *	tcbp_ (tcbp_@tcbp_.tmi.twitch.tv) has left
Apr 18 22:45:54 *	winterfamboi (winterfamboi@winterfamboi.tmi.twitch.tv) has left
Apr 18 22:45:54 *	miss_kinn (miss_kinn@miss_kinn.tmi.twitch.tv) has left
Apr 18 22:45:54 *	eevn (eevn@eevn.tmi.twitch.tv) has left
Apr 18 22:45:56 <lavaa>	Sh4de
Apr 18 22:46:08 <4gottenz>	people not editin their clips
Apr 18 22:46:08 <moshes_w_wolves>	4Head
Apr 18 22:46:10 <righteous_bacon>	shade stop bully WutFace
Apr 18 22:46:11 <sunderkeenin>	people really suck at properly ending their clips
Apr 18 22:46:12 <4gottenz>	:<
Apr 18 22:46:13 <tozs_>	4Head
Apr 18 22:46:14 <corunson>	https://clips.twitch.tv/TangentialFastTurtleBatChest
Apr 18 22:46:15 <jellyton>	oh sorry i should've cut that shit off
Apr 18 22:46:26 <jellyton>	oh that wasn't mine
Apr 18 22:46:27 <streetpassmii>	@shade what does RNG mean?
Apr 18 22:46:38 <wild_rumpus>	obsessed with the clip champ badge...
Apr 18 22:46:39 <4gottenz>	LOL
Apr 18 22:46:42 <crazyycow>	monkaS
Apr 18 22:46:43 <4gottenz>	monkaS
Apr 18 22:46:44 <ruthles726>	why dont u like at ur discord clips
Apr 18 22:46:56 <zinqul>	monkaTOS
Apr 18 22:47:16 <moshes_w_wolves>	FreakinStinkin
Apr 18 22:47:18 <dogguy>	mustard overlord
Apr 18 22:47:32 <corunson>	LOL THIS ONE https://clips.twitch.tv/SparklyAbnegateBaconYouWHY
Apr 18 22:47:32 <heuji>	yeah, alba
Apr 18 22:47:40 *	breadgaming (breadgaming@breadgaming.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	wadlie (wadlie@wadlie.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	jubzee (jubzee@jubzee.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	jellyton (jellyton@jellyton.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	streetpassmii (streetpassmii@streetpassmii.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	hev5 (hev5@hev5.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	clinch12 (clinch12@clinch12.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	2dgirlfriend (2dgirlfriend@2dgirlfriend.tmi.twitch.tv) has joined
Apr 18 22:47:40 *	killroy_nqp (killroy_nqp@killroy_nqp.tmi.twitch.tv) has left
Apr 18 22:47:40 *	thunderperfectmind (thunderperfectmind@thunderperfectmind.tmi.twitch.tv) has left
Apr 18 22:47:40 *	technovolt564 (technovolt564@technovolt564.tmi.twitch.tv) has left
Apr 18 22:47:40 *	b4nny (b4nny@b4nny.tmi.twitch.tv) has left
Apr 18 22:47:40 *	mathsocks (mathsocks@mathsocks.tmi.twitch.tv) has left
Apr 18 22:47:40 *	jax_sin (jax_sin@jax_sin.tmi.twitch.tv) has left
Apr 18 22:47:40 *	yomps1 (yomps1@yomps1.tmi.twitch.tv) has left
Apr 18 22:47:40 *	alightshiningindarkn3ss (alightshiningindarkn3ss@alightshiningindarkn3ss.tmi.twitch.tv) has left
Apr 18 22:47:40 *	ghostclientsales (ghostclientsales@ghostclientsales.tmi.twitch.tv) has left
Apr 18 22:47:40 *	barkbarkbark (barkbarkbark@barkbarkbark.tmi.twitch.tv) has left
Apr 18 22:47:40 *	breezykit (breezykit@breezykit.tmi.twitch.tv) has left
Apr 18 22:47:40 *	zirtonic (zirtonic@zirtonic.tmi.twitch.tv) has left
Apr 18 22:47:52 <habib_6ix_god>	LOL
Apr 18 22:47:56 <arekk_12>	LMFAO
Apr 18 22:47:56 <mackeytf>	wtf
Apr 18 22:47:58 <moshes_w_wolves>	LUL
Apr 18 22:47:58 <crazyycow>	LUL
Apr 18 22:47:58 <dubitable>	LUL
Apr 18 22:47:59 <4gottenz>	lmfao
Apr 18 22:48:01 <mellotf2_>	LUL LUL
Apr 18 22:48:03 <zinqul>	LUL
Apr 18 22:48:04 <wild_rumpus>	LuL
Apr 18 22:48:04 <zeekaptain>	bannyXD
Apr 18 22:48:10 <4dderall>	LUL
Apr 18 22:48:11 <sunderkeenin>	LUL
Apr 18 22:48:12 <dubitable>	at least it's shortened
Apr 18 22:48:16 <moshes_w_wolves>	^
Apr 18 22:48:17 <catface__>	@Shade https://clips.twitch.tv/HeadstrongZealousWallabyFailFish
Apr 18 22:48:21 <bioshockfish>	LUL
Apr 18 22:48:21 <ponpon___>	LMFAO
Apr 18 22:48:23 <wild_rumpus>	thats a webcam mic
Apr 18 22:48:32 <mellotf2_>	LUL EleGiggle LUL
Apr 18 22:48:38 <mackeytf>	tos
Apr 18 22:48:39 <lavaa>	kaidusHaffi
Apr 18 22:48:39 <darkxk>	D:
Apr 18 22:48:41 <4gottenz>	MONKAS
Apr 18 22:48:41 <crazyycow>	tos
Apr 18 22:48:42 <tozs_>	PunchTrees
Apr 18 22:48:44 <sliferr>	LOL
Apr 18 22:48:48 <mackeytf>	shdeTOS
Apr 18 22:48:48 <darkxk>	monkaTOS
Apr 18 22:48:58 <sunderkeenin>	remember guys, you can cut the clip from the front and from the back. You don't need to spend 30 seconds at the end staring into space like an f2p on 2fort 4Head
Apr 18 22:49:11 <ponpon___>	???
Apr 18 22:49:11 <b4nnysbottom>	Shade tell b4nny I said hi
Apr 18 22:49:22 *	alightshiningindarkn3ss (alightshiningindarkn3ss@alightshiningindarkn3ss.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	roszlite (roszlite@roszlite.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	oasis2323 (oasis2323@oasis2323.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	dustybunny250 (dustybunny250@dustybunny250.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	critboi69 (critboi69@critboi69.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	romssssssss (romssssssss@romssssssss.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	colpun (colpun@colpun.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	crdbrdpizza (crdbrdpizza@crdbrdpizza.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	superdupertacos (superdupertacos@superdupertacos.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	kawin600 (kawin600@kawin600.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	12cnka (12cnka@12cnka.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	threesuns246 (threesuns246@threesuns246.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	thermos9 (thermos9@thermos9.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	novaterra__ (novaterra__@novaterra__.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	doboboy (doboboy@doboboy.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	sp0t___ (sp0t___@sp0t___.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	catface__ (catface__@catface__.tmi.twitch.tv) has joined
Apr 18 22:49:22 *	euler_tf (euler_tf@euler_tf.tmi.twitch.tv) has left
Apr 18 22:49:22 *	xrodiment (xrodiment@xrodiment.tmi.twitch.tv) has left
Apr 18 22:49:22 *	gr_buster (gr_buster@gr_buster.tmi.twitch.tv) has left
Apr 18 22:49:22 *	wadlie (wadlie@wadlie.tmi.twitch.tv) has left
Apr 18 22:49:22 *	tyopet (tyopet@tyopet.tmi.twitch.tv) has left
Apr 18 22:49:22 *	peniferous (peniferous@peniferous.tmi.twitch.tv) has left
Apr 18 22:49:22 *	5econd5ight (5econd5ight@5econd5ight.tmi.twitch.tv) has left
Apr 18 22:49:22 *	manacute (manacute@manacute.tmi.twitch.tv) has left
Apr 18 22:49:22 *	retrodaveyboy (retrodaveyboy@retrodaveyboy.tmi.twitch.tv) has left
Apr 18 22:49:22 *	2dgirlfriend (2dgirlfriend@2dgirlfriend.tmi.twitch.tv) has left
Apr 18 22:49:22 *	yoshtf (yoshtf@yoshtf.tmi.twitch.tv) has left
Apr 18 22:49:22 *	extracrispy111 (extracrispy111@extracrispy111.tmi.twitch.tv) has left
Apr 18 22:49:22 *	grandmaster_adobe_flash (grandmaster_adobe_flash@grandmaster_adobe_flash.tmi.twitch.tv) has left
Apr 18 22:49:24 <streetpassmii>	🙂 @shade what does RNG stand for? 🤔
Apr 18 22:49:25 <mellotf2_>	4Head ?
Apr 18 22:49:34 <corunson>	https://clips.twitch.tv/ExcitedSpunkyStingrayYee RKT
Apr 18 22:49:35 <4gottenz>	that was some dbz shit
Apr 18 22:49:38 <zinqul>	funkeThe funkeSauce funkeLUL
Apr 18 22:49:48 <habib_6ix_god>	wtf LOL
Apr 18 22:49:51 <corunson>	lmfao
Apr 18 22:49:51 <moshes_w_wolves>	hehehehee
Apr 18 22:49:54 <mackeytf>	new hitsound
Apr 18 22:49:55 <ponpon___>	trukLUL
Apr 18 22:49:57 <boomawranglerhaha>	trukPeek
Apr 18 22:49:57 <darkxk>	4Head
Apr 18 22:49:58 <sunderkeenin>	look at that, the clip ends at the punchline
Apr 18 22:50:00 <mellotf2_>	LUL LUL
Apr 18 22:50:00 <dellaaa>	@shade https://clips.twitch.tv/TawdryColdWormBloodTrail?tt_medium=clips_api&tt_content=url
Apr 18 22:50:01 <sunderkeenin>	Kreygasm
Apr 18 22:50:02 <brimst0ne_>	LUL
Apr 18 22:50:03 <4gottenz>	oh no
Apr 18 22:50:04 <knockthemanklesloose>	turn that into a sick beat
Apr 18 22:50:05 <habib_6ix_god>	I know the song ur bout to pull up
Apr 18 22:50:07 <dustybunny250>	SHADEBEATS?
Apr 18 22:50:09 <roeeyamini>	sick beat
Apr 18 22:50:15 <4dderall>	ShadeBrain?
Apr 18 22:50:31 <0x0ace>	@habib_6ix_God I thought you were banned from shade's chat lo
Apr 18 22:50:32 <0x0ace>	l
Apr 18 22:50:34 <ponpon___>	LOL
Apr 18 22:50:36 <darkxk>	LUL
Apr 18 22:50:40 <mellotf2_>	LUL LUL LUL
Apr 18 22:50:40 <corunson>	lmfao
Apr 18 22:50:43 <wild_rumpus>	@dellaaa posting a 3 month old clip of your own cmonBruh
Apr 18 22:50:44 <dustybunny250>	YESSS
Apr 18 22:50:45 <tozs_>	SourPls
Apr 18 22:50:49 <ponpon___>	PepePls
Apr 18 22:50:49 <0x0ace>	shdeLUL shdeLUL shdeLUL
Apr 18 22:50:50 <zeekaptain>	SourPls
Apr 18 22:50:51 <corunson>	SourPls
Apr 18 22:50:58 *	rulo2004 (rulo2004@rulo2004.tmi.twitch.tv) has joined
Apr 18 22:50:58 *	ponpon___ (ponpon___@ponpon___.tmi.twitch.tv) has joined
Apr 18 22:50:58 *	tyopet (tyopet@tyopet.tmi.twitch.tv) has joined
Apr 18 22:50:58 *	knockthemanklesloose (knockthemanklesloose@knockthemanklesloose.tmi.twitch.tv) has joined
